state,state_ibge_code,city_ibge_code,city,estimated_population
AC,12,1200013,Acrelândia,15256
AC,12,1200054,Assis Brasil,7417
AC,12,1200104,Brasiléia,26278
AC,12,1200138,Bujari,10266
AC,12,1200179,Capixaba,11733
AC,12,1200203,Cruzeiro do Sul,88376
AC,12,1200252,Epitaciolândia,18411
AC,12,1200302,Feijó,34780
AC,12,1200328,Jordão,8317
AC,12,1200336,Mâncio Lima,18977
AC,12,1200344,Manoel Urbano,9459
AC,12,1200351,Marechal Thaumaturgo,18867
AC,12,1200385,Plácido de Castro,19761
AC,12,1200807,Porto Acre,18504
AC,12,1200393,Porto Walter,11982
AC,12,1200401,Rio Branco,407319
AC,12,1200427,Rodrigues Alves,18930
AC,12,1200435,Santa Rosa do Purus,6540
AC,12,1200500,Sena Madureira,45848
AC,12,1200450,Senador Guiomard,23024
AC,12,1200609,Tarauacá,42567
AC,12,1200708,Xapuri,19323
AL,27,2700102,Água Branca,20196
AL,27,2700201,Anadia,17545
AL,27,2700300,Arapiraca,231747
AL,27,2700409,Atalaia,47185
AL,27,2700508,Barra de Santo Antônio,15932
AL,27,2700607,Barra de São Miguel,8322
AL,27,2700706,Batalha,18232
AL,27,2700805,Belém,4344
AL,27,2700904,Belo Monte,6704
AL,27,2701001,Boca da Mata,27281
AL,27,2701100,Branquinha,10494
AL,27,2701209,Cacimbinhas,10858
AL,27,2701308,Cajueiro,21264
AL,27,2701357,Campestre,6936
AL,27,2701407,Campo Alegre,57063
AL,27,2701506,Campo Grande,9558
AL,27,2701605,Canapi,17722
AL,27,2701704,Capela,17053
AL,27,2701803,Carneiros,9081
AL,27,2701902,Chã Preta,7311
AL,27,2702009,Coité do Nóia,10693
AL,27,2702108,Colônia Leopoldina,21698
AL,27,2702207,Coqueiro Seco,5845
AL,27,2702306,Coruripe,56933
AL,27,2702355,Craíbas,24219
AL,27,2702405,Delmiro Gouveia,52016
AL,27,2702504,Dois Riachos,11075
AL,27,2702553,Estrela de Alagoas,18205
AL,27,2702603,Feira Grande,22166
AL,27,2702702,Feliz Deserto,4754
AL,27,2702801,Flexeiras,12790
AL,27,2702900,Girau do Ponciano,40917
AL,27,2703007,Ibateguara,15616
AL,27,2703106,Igaci,25631
AL,27,2703205,Igreja Nova,24499
AL,27,2703304,Inhapi,18385
AL,27,2703403,Jacaré dos Homens,5253
AL,27,2703502,Jacuípe,7021
AL,27,2703601,Japaratinga,8361
AL,27,2703700,Jaramataia,5770
AL,27,2703759,Jequiá da Praia,11580
AL,27,2703809,Joaquim Gomes,23993
AL,27,2703908,Jundiá,4155
AL,27,2704005,Junqueiro,24727
AL,27,2704104,Lagoa da Canoa,17852
AL,27,2704203,Limoeiro de Anadia,28635
AL,27,2704302,Maceió,1018948
AL,27,2704401,Major Isidoro,19804
AL,27,2704906,Mar Vermelho,3514
AL,27,2704500,Maragogi,32704
AL,27,2704609,Maravilha,9163
AL,27,2704708,Marechal Deodoro,51901
AL,27,2704807,Maribondo,13264
AL,27,2705002,Mata Grande,25216
AL,27,2705101,Matriz de Camaragibe,24642
AL,27,2705200,Messias,17856
AL,27,2705309,Minador do Negrão,5329
AL,27,2705408,Monteirópolis,7159
AL,27,2705507,Murici,28236
AL,27,2705606,Novo Lino,12690
AL,27,2705903,Olho d'Água Grande,5123
AL,27,2705705,Olho d'Água das Flores,21688
AL,27,2705804,Olho d'Água do Casado,9373
AL,27,2706000,Olivença,11624
AL,27,2706109,Ouro Branco,11496
AL,27,2706208,Palestina,5011
AL,27,2706307,Palmeira dos Índios,73218
AL,27,2706406,Pão de Açúcar,24399
