municipio,confirmados,mortes
Porto Velho,96248,2617
Ji-Paraná,29089,644
Ariquemes,28370,538
Cacoal,23217,333
Vilhena,18783,300
Jaru,11115,195
Pimenta Bueno,10295,128
Machadinho D'Oeste,9386,125
Rolim de Moura,9026,191
Buritis,8741,95
Alta Floresta D'Oeste,6921,77
Ouro Preto do Oeste,6682,163
Guajará-Mirim,5976,235
Espigão D'Oeste,5835,88
Nova Mamoré,5463,89
Presidente Médici,5150,91
Candeias do Jamari,5004,82
Cerejeiras,4542,70
São Francisco do Guaporé,4395,54
São Miguel do Guaporé,3928,61
Colorado do Oeste,3754,49
Cujubim,3722,45
Nova Brasilândia D'Oeste,3681,35
Alto Paraíso,3339,60
Costa Marques,3282,46
Monte Negro,3122,36
Seringueiras,2597,23
Campo Novo de Rondônia,2550,28
Chupinguaia,2407,27
Urupá,2240,32
Alto Alegre dos Parecis,2002,47
Santa Luzia D'Oeste,1777,23
Mirante da Serra,1740,15
Alvorada D'Oeste,1697,33
Corumbiara,1604,19
Itapuã do Oeste,1585,25
Vale do Anari,1551,25
Cacaulândia,1443,17
Cabixi,1442,22
Vale do Paraíso,1400,27
Nova União,1235,15
Theobroma,1118,26
Rio Crespo,1105,13
Governador Jorge Teixeira,1025,24
Novo Horizonte do Oeste,1023,22
São Felipe D'Oeste,910,13
Ministro Andreazza,830,15
Teixeirópolis,749,9
Parecis,728,10
Pimenteiras do Oeste,629,17
Primavera de Rondônia,574,7
Castanheiras,350,9
TOTAL NO ESTADO,355377,6990
