uf,codigo_uf,codigo_municipio,municipio,populacao_estimada
AC,12,00013,Acrelândia,15256
AC,12,00054,Assis Brasil,7417
AC,12,00104,Brasiléia,26278
AC,12,00138,Bujari,10266
AC,12,00179,Capixaba,11733
AC,12,00203,Cruzeiro do Sul,88376
AC,12,00252,Epitaciolândia,18411
AC,12,00302,Feijó,34780
AC,12,00328,Jordão,8317
AC,12,00336,Mâncio Lima,18977
AC,12,00344,Manoel Urbano,9459
AC,12,00351,Marechal Thaumaturgo,18867
AC,12,00385,Plácido de Castro,19761
AC,12,00393,Porto Walter,11982
AC,12,00401,Rio Branco,407319
AC,12,00427,Rodrigues Alves,18930
AC,12,00435,Santa Rosa do Purus,6540
AC,12,00450,Senador Guiomard,23024
AC,12,00500,Sena Madureira,45848
AC,12,00609,Tarauacá,42567
AC,12,00708,Xapuri,19323
AC,12,00807,Porto Acre,18504
AL,27,00102,Água Branca,20196
AL,27,00201,Anadia,17545
AL,27,00300,Arapiraca,231747
AL,27,00409,Atalaia,47185
AL,27,00508,Barra de Santo Antônio,15932
AL,27,00607,Barra de São Miguel,8322
AL,27,00706,Batalha,18232
AL,27,00805,Belém,4344
AL,27,00904,Belo Monte,6704
AL,27,01001,Boca da Mata,27281
AL,27,01100,Branquinha,10494
AL,27,01209,Cacimbinhas,10858
AL,27,01308,Cajueiro,21264
AL,27,01357,Campestre,6936
AL,27,01407,Campo Alegre,57063
AL,27,01506,Campo Grande,9558
AL,27,01605,Canapi,17722
AL,27,01704,Capela,17053
AL,27,01803,Carneiros,9081
AL,27,01902,Chã Preta,7311
AL,27,02009,Coité do Nóia,10693
AL,27,02108,Colônia Leopoldina,21698
AL,27,02207,Coqueiro Seco,5845
AL,27,02306,Coruripe,56933
AL,27,02355,Craíbas,24219
AL,27,02405,Delmiro Gouveia,52016
AL,27,02504,Dois Riachos,11075
AL,27,02553,Estrela de Alagoas,18205
AL,27,02603,Feira Grande,22166
AL,27,02702,Feliz Deserto,4754
AL,27,02801,Flexeiras,12790
AL,27,02900,Girau do Ponciano,40917
AL,27,03007,Ibateguara,15616
AL,27,03106,Igaci,25631
AL,27,03205,Igreja Nova,24499
AL,27,03304,Inhapi,18385
AL,27,03403,Jacaré dos Homens,5253
AL,27,03502,Jacuípe,7021
AL,27,03601,Japaratinga,8361
AL,27,03700,Jaramataia,5770
AL,27,03759,Jequiá da Praia,11580
AL,27,03809,Joaquim Gomes,23993
AL,27,03908,Jundiá,4155
AL,27,04005,Junqueiro,24727
AL,27,04104,Lagoa da Canoa,17852
AL,27,04203,Limoeiro de Anadia,28635
AL,27,04302,Maceió,1018948
AL,27,04401,Major Isidoro,19804
AL,27,04500,Maragogi,32704
AL,27,04609,Maravilha,9163
AL,27,04708,Marechal Deodoro,51901
AL,27,04807,Maribondo,13264
AL,27,04906,Mar Vermelho,3514
AL,27,05002,Mata Grande,25216
AL,27,05101,Matriz de Camaragibe,24642
AL,27,05200,Messias,17856
AL,27,05309,Minador do Negrão,5329
AL,27,05408,Monteirópolis,7159
AL,27,05507,Murici,28236
AL,27,05606,Novo Lino,12690
AL,27,05705,Olho d'Água das Flores,21688
AL,27,05804,Olho d'Água do Casado,9373
AL,27,05903,Olho d'Água Grande,5123
AL,27,06000,Olivença,11624
AL,27,06109,Ouro Branco,11496
AL,27,06208,Palestina,5011
AL,27,06307,Palmeira dos Índios,73218
AL,27,06406,Pão de Açúcar,24399
AL,27,06422,Pariconha,10533
AL,27,06448,Paripueira,13176
AL,27,06505,Passo de Camaragibe,15245
AL,27,06604,Paulo Jacinto,7564
AL,27,06703,Penedo,63683
AL,27,06802,Piaçabuçu,17827
AL,27,06901,Pilar,35111
AL,27,07008,Pindoba,2908
AL,27,07107,Piranhas,25039
AL,27,07206,Poço das Trincheiras,14386
AL,27,07305,Porto Calvo,27165
AL,27,07404,Porto de Pedras,7786
AL,27,07503,Porto Real do Colégio,20066
AL,27,07602,Quebrangulo,11294
AL,27,07701,Rio Largo,75120
AL,27,07800,Roteiro,6664
AL,27,07909,Santa Luzia do Norte,7296
AL,27,08006,Santana do Ipanema,47654
AL,27,08105,Santana do Mundaú,10740
AL,27,08204,São Brás,6961
AL,27,08303,São José da Laje,23927
AL,27,08402,São José da Tapera,32260
AL,27,08501,São Luís do Quitunde,34555
AL,27,08600,São Miguel dos Campos,61251
AL,27,08709,São Miguel dos Milagres,7951
AL,27,08808,São Sebastião,34152
AL,27,08907,Satuba,13828
AL,27,08956,Senador Rui Palmeira,13870
AL,27,09004,Tanque d'Arca,6162
AL,27,09103,Taquarana,19980
AL,27,09152,Teotônio Vilela,44169
AL,27,09202,Traipu,27715
AL,27,09301,União dos Palmares,65611
AL,27,09400,Viçosa,25733
AM,13,00029,Alvarães,16041
AM,13,00060,Amaturá,11536
AM,13,00086,Anamã,13614
AM,13,00102,Anori,21010
AM,13,00144,Apuí,21973
AM,13,00201,Atalaia do Norte,19921
AM,13,00300,Autazes,39565
AM,13,00409,Barcelos,27502
AM,13,00508,Barreirinha,32041
AM,13,00607,Benjamin Constant,42984
AM,13,00631,Beruri,19679
AM,13,00680,Boa Vista do Ramos,19207
AM,13,00706,Boca do Acre,34308
AM,13,00805,Borba,41161
AM,13,00839,Caapiranga,13081
AM,13,00904,Canutama,15629
AM,13,01001,Carauari,28294
AM,13,01100,Careiro,37869
AM,13,01159,Careiro da Várzea,30225
AM,13,01209,Coari,85097
AM,13,01308,Codajás,28637
AM,13,01407,Eirunepé,35273
AM,13,01506,Envira,20033
AM,13,01605,Fonte Boa,17609
AM,13,01654,Guajará,16678
AM,13,01704,Humaitá,55080
AM,13,01803,Ipixuna,29689
AM,13,01852,Iranduba,48296
AM,13,01902,Itacoatiara,101337
AM,13,01951,Itamarati,7851
AM,13,02009,Itapiranga,9148
AM,13,02108,Japurá,2755
AM,13,02207,Juruá,14712
AM,13,02306,Jutaí,14317
AM,13,02405,Lábrea,46069
AM,13,02504,Manacapuru,97377
AM,13,02553,Manaquiri,32105
AM,13,02603,Manaus,2182763
AM,13,02702,Manicoré,55751
AM,13,02801,Maraã,18224
AM,13,02900,Maués,63905
AM,13,03007,Nhamundá,21173
AM,13,03106,Nova Olinda do Norte,37378
AM,13,03205,Novo Airão,19454
AM,13,03304,Novo Aripuanã,25644
AM,13,03403,Parintins,114273
AM,13,03502,Pauini,19426
AM,13,03536,Presidente Figueiredo,36279
AM,13,03569,Rio Preto da Eva,33347
AM,13,03601,Santa Isabel do Rio Negro,25156
AM,13,03700,Santo Antônio do Içá,21602
AM,13,03809,São Gabriel da Cachoeira,45564
AM,13,03908,São Paulo de Olivença,39299
AM,13,03957,São Sebastião do Uatumã,14020
AM,13,04005,Silves,9171
AM,13,04062,Tabatinga,65844
AM,13,04104,Tapauá,17156
AM,13,04203,Tefé,59849
AM,13,04237,Tonantins,18755
AM,13,04260,Uarini,13540
AM,13,04302,Urucará,16256
AM,13,04401,Urucurituba,23065
AP,16,00055,Serra do Navio,5397
AP,16,00105,Amapá,9109
AP,16,00154,Pedra Branca do Amapari,16502
AP,16,00204,Calçoene,11117
AP,16,00212,Cutias,5983
AP,16,00238,Ferreira Gomes,7780
AP,16,00253,Itaubal,5503
AP,16,00279,Laranjal do Jari,50410
AP,16,00303,Macapá,503327
AP,16,00402,Mazagão,21632
AP,16,00501,Oiapoque,27270
AP,16,00535,Porto Grande,21971
AP,16,00550,Pracuúba,5120
AP,16,00600,Santana,121364
AP,16,00709,Tartarugalzinho,17315
AP,16,00808,Vitória do Jari,15931
BA,29,00108,Abaíra,8739
BA,29,00207,Abaré,20086
BA,29,00306,Acajutiba,15159
BA,29,00355,Adustina,17040
BA,29,00405,Água Fria,16970
BA,29,00504,Érico Cardoso,10610
BA,29,00603,Aiquara,4446
BA,29,00702,Alagoinhas,151596
BA,29,00801,Alcobaça,22470
BA,29,00900,Almadina,5464
BA,29,01007,Amargosa,37241
BA,29,01106,Amélia Rodrigues,25102
BA,29,01155,América Dourada,16094
BA,29,01205,Anagé,17857
BA,29,01304,Andaraí,13143
BA,29,01353,Andorinha,14595
BA,29,01403,Angical,13977
BA,29,01502,Anguera,11221
BA,29,01601,Antas,19291
BA,29,01700,Antônio Cardoso,11683
BA,29,01809,Antônio Gonçalves,11798
BA,29,01908,Aporá,17731
BA,29,01957,Apuarema,7330
BA,29,02005,Aracatu,13135
BA,29,02054,Araças,12177
BA,29,02104,Araci,54379
BA,29,02203,Aramari,11397
BA,29,02252,Arataca,11019
BA,29,02302,Aratuípe,8825
BA,29,02401,Aurelino Leal,11531
BA,29,02500,Baianópolis,13877
BA,29,02609,Baixa Grande,20468
BA,29,02658,Banzaê,13229
BA,29,02708,Barra,53578
BA,29,02807,Barra da Estiva,20598
BA,29,02906,Barra do Choça,31603
BA,29,03003,Barra do Mendes,13865
BA,29,03102,Barra do Rocha,5714
BA,29,03201,Barreiras,155439
BA,29,03235,Barro Alto,14931
BA,29,03276,Barrocas,15978
BA,29,03300,Barro Preto,5591
BA,29,03409,Belmonte,23328
BA,29,03508,Belo Campo,17211
BA,29,03607,Biritinga,15979
BA,29,03706,Boa Nova,12633
BA,29,03805,Boa Vista do Tupim,18576
BA,29,03904,Bom Jesus da Lapa,69148
BA,29,03953,Bom Jesus da Serra,9880
BA,29,04001,Boninal,14368
BA,29,04050,Bonito,16764
BA,29,04100,Boquira,21508
BA,29,04209,Botuporã,10211
BA,29,04308,Brejões,14295
BA,29,04407,Brejolândia,10557
BA,29,04506,Brotas de Macaúbas,10231
BA,29,04605,Brumado,67195
BA,29,04704,Buerarema,18349
BA,29,04753,Buritirama,21174
BA,29,04803,Caatiba,6758
BA,29,04852,Cabaceiras do Paraguaçu,18807
BA,29,04902,Cachoeira,33470
BA,29,05008,Caculé,23170
BA,29,05107,Caém,9213
BA,29,05156,Caetanos,15573
BA,29,05206,Caetité,50975
BA,29,05305,Cafarnaum,18437
BA,29,05404,Cairu,18176
BA,29,05503,Caldeirão Grande,13327
BA,29,05602,Camacan,31988
BA,29,05701,Camaçari,299132
BA,29,05800,Camamu,35316
BA,29,05909,Campo Alegre de Lourdes,28798
BA,29,06006,Campo Formoso,71206
BA,29,06105,Canápolis,9711
