field_name,field_type
codigo_vacina,integer
data_aplicacao,date
data_importacao,date
documento_uuid,text
estabelecimento,text
estabelecimento_codigo_cnes,integer
estabelecimento_codigo_ibge_municipio,integer
estabelecimento_municipio,text
estabelecimento_razao_social,text
estabelecimento_unidade_federativa,text
numero_dose,integer
paciente_cep,float
paciente_codigo_etnia,integer
paciente_codigo_grupo,integer
paciente_codigo_ibge_municipio,integer
paciente_codigo_pais,integer
paciente_codigo_subgrupo,integer
paciente_etnia,text
paciente_grupo,text
paciente_idade,integer
paciente_municipio,text
paciente_nacionalidade,text
paciente_pais,text
paciente_sexo_biologico,text
paciente_subgrupo,text
paciente_unidade_federativa,text
paciente_uuid,text
sistema_origem,text
vacina,text
vacina_lote,text
